06-05 00:03:53.230 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.230Z | CAMERA_PIPELINE | {"t":1780610633230,"seq":2429,"gpsTickId":1780610632920,"gpsTickAgeMs":289,"lat":51.320459,"lng":19.108339,"hintHdg":191,"followHdg":196,"camHdgFlipDeg":4,"speedKmh":55,"frameMoveM":0,"rawGapM":7.4,"segMs":380,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:53.247 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.247Z | MARKER_UI_SMOOTH | {"t":1780610633247,"seq":2430,"gpsTickId":1780610632920,"gpsTickAgeMs":306,"lat":51.320448,"lng":19.108334,"hdg":196,"uiMoveM":2.7,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:53.280 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.280Z | DRIVE_TRACE_CAMERA | {"t":1780610633280,"seq":2431,"gpsTickId":1780610632920,"gpsTickAgeMs":339,"lat":51.320425,"lng":19.108324,"hdg":196,"speedKmh":54.6,"exploring":false,"frameMoveM":0}
06-05 00:03:53.348 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.348Z | MARKER_UI_SMOOTH | {"t":1780610633348,"seq":2432,"gpsTickId":1780610632920,"gpsTickAgeMs":407,"lat":51.320392,"lng":19.108309,"hdg":196,"uiMoveM":1.1,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:53.364 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.364Z | CAMERA_PIPELINE | {"t":1780610633364,"seq":2433,"gpsTickId":1780610632920,"gpsTickAgeMs":423,"lat":51.32039,"lng":19.108308,"hintHdg":191,"followHdg":196,"camHdgFlipDeg":4,"speedKmh":55,"frameMoveM":0,"rawGapM":0.5,"segMs":380,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:53.431 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.431Z | DRIVE_TRACE_CAMERA | {"t":1780610633431,"seq":2434,"gpsTickId":1780610632920,"gpsTickAgeMs":490,"lat":51.320381,"lng":19.108305,"hdg":196,"speedKmh":54.6,"exploring":false,"frameMoveM":0}
06-05 00:03:53.448 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.448Z | MARKER_UI_SMOOTH | {"t":1780610633448,"seq":2435,"gpsTickId":1780610632920,"gpsTickAgeMs":507,"lat":51.320379,"lng":19.108304,"hdg":196,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:53.529 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.529Z | CAMERA_HEADING | {"t":1780610633529,"speedKmh":55,"movedM":1.26,"moveBearing":196,"snapHdg":196,"headingOut":196,"flipFromPrevDeg":0,"lookaheadM":47,"nativeFollow":true,"frameDtMs":82,"impliedKmh":56,"followFromWorklet":false}
06-05 00:03:53.533 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.533Z | CAMERA_PIPELINE | {"t":1780610633533,"seq":2436,"gpsTickId":1780610632920,"gpsTickAgeMs":592,"lat":51.320377,"lng":19.108303,"hintHdg":191,"followHdg":189,"camHdgFlipDeg":2,"speedKmh":55,"frameMoveM":0,"rawGapM":2,"segMs":380,"msSinceCamPush":86,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:53.604 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.604Z | CAM_FOLLOW_PUSH | {"t":1780610633604,"lat":51.320366,"lng":19.108298,"hdg":181,"snapHdg":191,"speedKmh":55,"exploring":false,"source":"drive_marker_sv_60fps"}
06-05 00:03:53.604 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.604Z | DRIVE_TRACE_CAMERA | {"t":1780610633604,"seq":2437,"gpsTickId":1780610632920,"gpsTickAgeMs":663,"lat":51.320366,"lng":19.108298,"hdg":181,"speedKmh":54.6,"exploring":false,"frameMoveM":0}
